Document group,Document name,Code,Segment,Memos,Comment,Other codes assigned to segment
WPRO,Australia. New South Wales. Heatwave_Sub_plan_June_2023 [updated from the GHHIN version],No mention of mental health information,"State Heatwave Subplan 
A Subplan of the NSW State Emergency Management Plan", ,,
WPRO,Australia. New South Wales. Heatwave_Sub_plan_June_2023 [updated from the GHHIN version],General Interventions ,"4.3 Community resilience 
Community resilience will be supported by agencies via community information strategies and the provision of “cool places”. “Cool places” are publicly accessible airconditioned spaces such as local libraries, community halls and shopping centres. These are generally be provided by councils and non-government organisations but can be provided by any agencies. Agencies with the resources to provide “cool places” should consider opening them to the public during a heatwave emergency.", ,,Search term > resilience (Weight: 0)
WPRO,Australia. New South Wales. Heatwave_Sub_plan_June_2023 [updated from the GHHIN version],Search term > resilience,resilience, ,,General Interventions  (Weight: 0)
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes ,"Extreme heat and heatwaves also affect mental health issues either directly by interacting with certain mental health medications, or indirectly through the psychosocial health of those who may be experiencing disaster events such as drought, floods, or bushfire. Additionally, there is evidence of increased rates of suicide, interpersonal conflicts, irritability, aggression, domestic violence, and violent crimes during heat events.", ,,"Search term > violen (Weight: 0)
Search term > suicide (Weight: 0)
Search term > aggress (Weight: 0)
Search term > irritab (Weight: 0)
Search term > psych (Weight: 0)
Search term > mental health  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes,"Extreme heat and heatwaves also affect mental health issues either directly by interacting with certain mental health medications, or indirectly through the psychosocial health of those who may be experiencing disaster events such as drought, floods, or bushfire. Additionally, there is evidence of increased rates of suicide, interpersonal conflicts, irritability, aggression, domestic violence, and violent crimes during heat events", ,,"Search term > violen (Weight: 0)
Search term > suicide (Weight: 0)
Search term > aggress (Weight: 0)
Search term > irritab (Weight: 0)
Search term > psych (Weight: 0)
Search term > mental health  (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes > Aggression,"Extreme heat and heatwaves also affect mental health issues either directly by interacting with certain mental health medications, or indirectly through the psychosocial health of those who may be experiencing disaster events such as drought, floods, or bushfire. Additionally, there is evidence of increased rates of suicide, interpersonal conflicts, irritability, aggression, domestic violence, and violent crimes during heat events", ,,"Search term > violen (Weight: 0)
Search term > suicide (Weight: 0)
Search term > aggress (Weight: 0)
Search term > irritab (Weight: 0)
Search term > psych (Weight: 0)
Search term > mental health  (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes > Suicide,"Extreme heat and heatwaves also affect mental health issues either directly by interacting with certain mental health medications, or indirectly through the psychosocial health of those who may be experiencing disaster events such as drought, floods, or bushfire. Additionally, there is evidence of increased rates of suicide, interpersonal conflicts, irritability, aggression, domestic violence, and violent crimes during heat events", ,,"Search term > violen (Weight: 0)
Search term > suicide (Weight: 0)
Search term > aggress (Weight: 0)
Search term > irritab (Weight: 0)
Search term > psych (Weight: 0)
Search term > mental health  (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes > Violence,"Extreme heat and heatwaves also affect mental health issues either directly by interacting with certain mental health medications, or indirectly through the psychosocial health of those who may be experiencing disaster events such as drought, floods, or bushfire. Additionally, there is evidence of increased rates of suicide, interpersonal conflicts, irritability, aggression, domestic violence, and violent crimes during heat events", ,,"Search term > violen (Weight: 0)
Search term > suicide (Weight: 0)
Search term > aggress (Weight: 0)
Search term > irritab (Weight: 0)
Search term > psych (Weight: 0)
Search term > mental health  (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > psych,psychosocia, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > suicide,suicide, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > irritab,"irritability,", ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > aggress,aggression, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > violen,violence, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > Aggression (Weight: 0)
Symptoms or other outcomes > Suicide (Weight: 0)
Symptoms or other outcomes > Violence (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > resilience,resilience, ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > wellbeing,wellbeing, ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > wellbeing,wellbeing, ,,
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental,Source: World Health Organisation, ,,"Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > General impacts on mental health (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes ,Source: World Health Organisation, ,,"Search term > mental (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)
Symptoms or other outcomes > General impacts on mental health (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes,Source: World Health Organisation, ,,"Search term > mental (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Symptoms or other outcomes > General impacts on mental health (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Mental Health Outcomes  > Symptoms or other outcomes > General impacts on mental health,Source: World Health Organisation, ,,"Search term > mental (Weight: 0)
Mental Health Outcomes  (Weight: 0)
Mental Health Outcomes  > Symptoms or other outcomes (Weight: 0)"
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Vulnerable communities,"The public health risks related to a warming climate, extreme heat and heatwaves include: 
 Poor health outcomes for vulnerable people (eg. cardiovascular, renal, and respiratory conditions, as well as mental health) compromised by exposure to hotter conditions, including higher risk of death", ,,Search term > mental health  (Weight: 0)
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Search term > mental health ,mental health), ,,Vulnerable communities (Weight: 0)
WPRO,Australia. South Australia. Health-Extreme-Heat-Heatwave-Strategy-2023 [updated from version on GHHIN website],Vulnerable communities,"Research shows that Aboriginal and Torres Strait Islander people already currently experience higher rates of climate-sensitive health conditions and socioeconomic disadvantages, which a warming climate and heatwaves will only exacerbate (HEAL Network, 2021 & Standen et al, 2022). It will also affect cultural practices, which are closely related to Aboriginal health and wellbeing.", ,,Search term > wellbeing (Weight: 0)
